size
343563
196887
302
54508
654353
215456
1053
2
1
6
1296122
8409
1
258225
11362
3
3446
2
10038
87557
19024
2
1
107799
2
1
1977
1
5419
33875
1
282847
117488
556
581489
326469
46
188055
1089
45465
319907
2
8199
538535
9
2
46124
293326
1
669444
2
136272
4822
665095
136
